Guatemalan	1	0.05
approves	1	0.05
Supreme	0	0.0
Court	0	0.0
approves impeachment	1	0.05
impeachment	1	0.9
Supreme Court	1	0.05
President	0	0.0
Molina	0	0.0
Yesterday	0	0.0
Guatemala	0	0.0
Supreme	0	0.0
attorney	1	0.05
Court	0	0.0
approved	0	0.0
attorney general	1	0.1
impeach	1	0.4
general	0	0.0
request	0	0.0
Otto Pérez	0	0.0
President	0	0.0
Otto	0	0.0
Pérez	0	0.0
Molina	0	0.0
pictured	1	0.1
President	0	0.0
Molina	0	0.0
accused	1	0.25
accused of corruption	1	0.05
corruption	1	0.6
decision	1	0.05
final	0	0.0
lifting	1	0.05
lifting Presidential immunity	1	0.05
immunity	1	0.9
Presidential	0	0.0
falls	1	0.05
Congress	0	0.0
corruption	1	0.15
case	0	0.0
relates	0	0.0
corruption scandal	1	0.05
scandal	1	0.35
La Linea((en	1	0.05
locally	0	0.0
La	0	0.0
Roxana Baldetti	0	0.0
Linea	0	0.0
Vice	0	0.0
President	0	0.0
Roxana	0	0.0
Baldetti	0	0.0
fraud	1	0.35
arrested	0	0.0
charged	0	0.0
receiving bribes	1	0.05
receiving	0	0.0
bribes	1	0.55
Prosecutors	1	0.15
Prosecutors allege	1	0.05
allege	1	0.2
Baldetti	0	0.0
bribes	1	0.2
Molina	0	0.0
received	0	0.0
half	0	0.0
case	0	0.0
impeach	1	0.2
Congress	0	0.0
previously	0	0.0
refused	0	0.0
investigation	1	0.1
Molina	0	0.0
broadened	1	0.4
ministerial	1	0.15
ministerial resignations	1	0.25
resignations	1	0.45
stood	1	0.05
Molina	0	0.0
widespread	1	0.15
firm	0	0.0
face	0	0.0
protests	1	0.1
popular	0	0.0
demanding	1	0.05
leave	0	0.0
office	0	0.0
Elections	1	0.05
scheduled	1	0.1
September	0	0.0
commented	1	0.1
Pavlensky	0	0.0
rape	1	0.05
rape charges	1	0.05
charges	0	0.0
political motivation	1	0.15
political	0	0.0
motivation	1	0.35
denied	1	0.25
allegations	1	0.8
Papernaya	0	0.0
Olga	0	0.0
Alas	1	0.05
art	0	0.0
director	0	0.0
Moscow	0	0.0
film	0	0.0
club	0	0.0
national	0	0.0
yesterday	0	0.0
performance	0	0.0
hero	0	0.0
great	0	0.0
performance artist	0	0.0
criminal	1	0.05
artist	0	0.0
today	0	0.0
's	0	0.0
true	0	0.0
psychopath	1	0.9
psychopath and a rapist	0	0.0
rapist	1	0.35
Ukraine	1	0.05
Pavlensky	0	0.0
Oksana	0	0.0
daughters	0	0.0
left	0	0.0
mid-December	0	0.0
flying	0	0.0
France	0	0.0
arrived	0	0.0
Paris	0	0.0
Saturday	0	0.0
painful performances	1	0.15
painful	0	0.0
performances	1	0.15
Pyotr Pavlensky	0	0.0
Pyotr	0	0.0
sewed	1	0.15
Pavlensky	0	0.0
sewed his lips	1	0.2
lips	1	0.05
musical	0	0.0
support	0	0.0
members	0	0.0
Pussy Riot	0	0.0
band	0	0.0
Pussy	0	0.0
Riot	1	0.05
imprisoned	1	0.5
time	0	0.0
hooliganism	1	1.0
band	0	0.0
members	0	0.0
charged	0	0.0
anti-Putin	1	0.05
performing	0	0.0
song	0	0.0
church	0	0.0
nailed	1	0.15
nailed his scrotum	1	0.05
scrotum	1	0.55
Fixation	1	0.4
Moscow	0	0.0
Red	0	0.0
Square	0	0.0
naming	0	0.0
art	0	0.0
Washington Post	1	0.05
Matt	0	0.0
O'Brien	0	0.0
Washington	0	0.0
claims	1	0.15
Post	0	0.0
tax cut	1	0.1
large	0	0.0
tax	0	0.0
wealthiest	1	0.4
cut	0	0.0
result	0	0.0
citizens	1	0.05
Obamacare	1	0.1
funds	1	0.05
converted	1	0.4
purposes	1	0.05
estimated	1	0.3
annually	1	0.25
Policy	1	0.05
person	0	0.0
Tax	0	0.0
significant	1	0.55
Center	0	0.0
significant motive	0	0.0
motive	1	0.3
Republican	1	0.05
Republican Senators	1	0.1
Senators	0	0.0
repeal	1	0.5
set	0	0.0
date	0	0.0
January	0	0.0
Obamacare	1	0.15
NBC	0	0.0
News	0	0.0
House Majority	1	0.05
House	0	0.0
Majority	0	0.0
